date,store_id,product_id,demand,category,region,price,discount,weather,holiday,season,inventory,sold,ordered,competitor_price
2022-02-18,S001,P0001,39.79,Electronics,South,20.21,15.0,Rainy,0,Winter,115,27,33,18.45
2022-02-19,S001,P0001,32.44,Furniture,North,75.6,0.0,Snowy,1,Summer,207,27,200,71.3
2022-02-20,S001,P0001,175.44,Toys,South,73.76,10.0,Rainy,0,Autumn,284,166,189,70.18
2022-02-21,S001,P0001,346.41,Clothing,East,96.55,10.0,Sunny,0,Winter,337,337,136,100.1
2022-02-22,S001,P0001,194.7,Furniture,East,12.81,15.0,Sunny,1,Spring,467,191,135,12.47
2022-02-23,S001,P0001,134.64,Groceries,West,27.67,15.0,Cloudy,0,Spring,152,129,88,31.03
2022-02-24,S001,P0001,169.54,Toys,East,25.72,10.0,Snowy,1,Winter,277,177,108,29.31
2022-02-25,S001,P0001,220.68,Clothing,North,10.85,20.0,Cloudy,1,Summer,399,214,188,14.28
2022-02-26,S001,P0001,113.33,Groceries,North,52.53,10.0,Snowy,0,Spring,167,106,55,54.21
2022-02-27,S001,P0001,81.82,Clothing,North,34.84,10.0,Rainy,1,Autumn,129,68,165,38.22
2022-02-28,S001,P0001,338.3,Furniture,South,89.39,10.0,Snowy,1,Summer,361,344,103,86.89
2022-03-01,S001,P0001,33.68,Toys,North,15.95,5.0,Snowy,0,Winter,263,28,113,13.91
2022-03-02,S001,P0001,105.56,Groceries,South,58.52,15.0,Snowy,1,Winter,216,93,120,58.92
2022-03-03,S001,P0001,31.54,Toys,South,14.01,0.0,Snowy,1,Autumn,304,36,44,12.87
2022-03-04,S001,P0001,274.86,Toys,South,33.06,15.0,Snowy,0,Autumn,338,284,43,34.47
2022-03-05,S001,P0001,274.26,Furniture,East,27.67,10.0,Sunny,0,Spring,496,282,167,28.65
2022-03-06,S001,P0001,203.71,Electronics,South,62.37,10.0,Cloudy,1,Winter,463,192,54,64.64
2022-03-07,S001,P0001,360.31,Toys,North,98.99,5.0,Rainy,0,Autumn,380,348,80,97.93
2022-03-08,S001,P0001,36.33,Clothing,West,95.9,20.0,Sunny,1,Winter,394,32,88,98.49
2022-03-09,S001,P0001,29.44,Clothing,South,24.92,15.0,Sunny,0,Autumn,339,26,165,24.38
2022-03-10,S001,P0001,161.02,Clothing,East,24.69,10.0,Snowy,1,Spring,285,147,184,20.0
2022-03-11,S001,P0001,155.99,Groceries,North,46.7,10.0,Snowy,1,Summer,348,141,188,50.28
2022-03-12,S001,P0001,196.14,Electronics,East,91.91,5.0,Rainy,1,Autumn,210,194,144,90.84
2022-03-13,S001,P0001,101.11,Clothing,North,87.0,15.0,Sunny,0,Summer,327,95,141,91.43
2022-03-14,S001,P0001,80.12,Electronics,West,59.11,10.0,Snowy,0,Summer,84,74,168,58.7
2022-03-15,S001,P0001,78.64,Furniture,West,69.17,20.0,Cloudy,0,Winter,172,78,187,70.1
2022-03-16,S001,P0001,243.54,Groceries,South,37.52,5.0,Cloudy,0,Autumn,252,230,126,36.49
2022-03-17,S001,P0001,102.55,Groceries,South,30.81,15.0,Sunny,1,Spring,124,89,86,30.91
2022-03-18,S001,P0001,142.21,Electronics,North,47.2,15.0,Snowy,0,Autumn,282,150,41,43.88
2022-03-19,S001,P0001,285.57,Clothing,South,17.8,20.0,Rainy,0,Summer,388,285,28,20.76
2022-03-20,S001,P0001,47.68,Electronics,East,33.07,15.0,Snowy,1,Summer,83,40,68,29.26
2022-03-21,S001,P0001,73.92,Groceries,North,75.75,15.0,Sunny,1,Summer,100,58,160,77.25
2022-03-22,S001,P0001,121.45,Electronics,North,69.56,5.0,Snowy,1,Autumn,163,114,83,67.3
2022-03-23,S001,P0001,15.89,Electronics,South,86.7,0.0,Sunny,1,Winter,82,21,124,87.39
2022-03-24,S001,P0001,42.16,Clothing,North,12.46,5.0,Cloudy,0,Summer,279,35,84,15.25
2022-03-25,S001,P0001,41.5,Electronics,South,45.18,0.0,Rainy,0,Autumn,441,31,137,40.48
2022-03-26,S001,P0001,22.91,Groceries,South,81.93,20.0,Snowy,1,Summer,81,4,128,84.51
2022-03-27,S001,P0001,279.09,Toys,South,78.21,10.0,Snowy,0,Autumn,324,289,95,81.17
2022-03-28,S001,P0001,61.96,Groceries,West,68.54,0.0,Rainy,0,Summer,393,49,57,65.85
2022-03-29,S001,P0001,-1.27,Electronics,West,65.91,5.0,Rainy,0,Winter,110,3,65,63.5
2022-03-30,S001,P0001,154.62,Groceries,South,32.07,0.0,Snowy,0,Autumn,339,136,191,35.44
2022-03-31,S001,P0001,91.85,Clothing,South,63.02,0.0,Sunny,0,Autumn,358,85,151,61.79
2022-04-01,S001,P0001,102.74,Furniture,West,44.62,0.0,Cloudy,1,Summer,215,101,65,43.36
2022-04-02,S001,P0001,74.21,Furniture,East,81.11,15.0,Sunny,1,Winter,200,70,54,85.3
2022-04-03,S001,P0001,42.34,Toys,South,51.04,15.0,Snowy,0,Summer,208,32,142,51.16
2022-04-04,S001,P0001,60.25,Furniture,North,70.04,10.0,Sunny,1,Summer,70,54,197,74.56
2022-04-05,S001,P0001,176.64,Groceries,East,90.24,10.0,Snowy,0,Winter,309,165,105,94.06
2022-04-06,S001,P0001,174.98,Groceries,West,23.65,10.0,Rainy,0,Spring,322,158,29,20.38
2022-04-07,S001,P0001,30.94,Furniture,South,67.82,0.0,Snowy,1,Winter,84,26,134,62.89
2022-04-08,S001,P0001,148.95,Furniture,East,27.4,15.0,Rainy,0,Spring,322,130,173,24.46
2022-04-09,S001,P0001,113.81,Groceries,North,69.13,15.0,Cloudy,1,Spring,435,121,60,65.28
2022-04-10,S001,P0001,301.68,Groceries,East,96.48,5.0,Sunny,0,Summer,292,282,200,92.65
2022-04-11,S001,P0001,367.23,Groceries,South,46.43,0.0,Rainy,1,Spring,376,358,192,50.45
2022-04-12,S001,P0001,237.67,Clothing,West,74.25,15.0,Rainy,0,Summer,381,238,139,78.42
2022-04-13,S001,P0001,293.17,Electronics,East,78.35,10.0,Snowy,1,Autumn,433,279,79,76.87
2022-04-14,S001,P0001,110.02,Electronics,South,83.64,20.0,Sunny,0,Spring,241,108,126,79.51
2022-04-15,S001,P0001,24.81,Toys,West,95.63,10.0,Sunny,1,Winter,136,32,165,90.95
2022-04-16,S001,P0001,176.76,Groceries,East,74.81,10.0,Cloudy,0,Spring,445,183,43,78.85
2022-04-17,S001,P0001,363.52,Toys,West,68.35,5.0,Cloudy,0,Summer,396,365,109,71.54
2022-04-18,S001,P0001,37.98,Groceries,South,53.83,20.0,Rainy,0,Winter,319,47,185,50.51
2022-04-19,S001,P0001,38.56,Electronics,North,66.6,15.0,Rainy,1,Winter,60,41,195,62.37
2022-04-20,S001,P0001,46.97,Furniture,North,14.9,20.0,Cloudy,1,Summer,164,51,131,13.27
2022-04-21,S001,P0001,109.15,Furniture,North,84.81,0.0,Rainy,1,Winter,320,107,27,87.15
2022-04-22,S001,P0001,410.98,Groceries,West,93.83,15.0,Snowy,0,Autumn,407,405,68,97.11
2022-04-23,S001,P0001,208.81,Electronics,East,36.5,15.0,Sunny,1,Spring,291,212,97,41.26
2022-04-24,S001,P0001,33.2,Toys,South,20.46,15.0,Snowy,1,Winter,81,14,59,23.22
2022-04-25,S001,P0001,48.53,Clothing,West,71.32,5.0,Cloudy,1,Spring,52,45,32,73.35
2022-04-26,S001,P0001,442.38,Groceries,South,29.14,10.0,Cloudy,0,Winter,489,452,98,29.25
2022-04-27,S001,P0001,298.22,Electronics,South,43.71,15.0,Cloudy,0,Summer,422,288,52,44.73
2022-04-28,S001,P0001,329.4,Groceries,South,47.06,10.0,Rainy,1,Autumn,348,334,167,49.09
2022-04-29,S001,P0001,31.1,Groceries,South,34.81,0.0,Rainy,1,Winter,319,27,121,38.71
2022-04-30,S001,P0001,143.4,Toys,South,20.41,20.0,Cloudy,0,Summer,162,149,71,23.49
2022-05-01,S001,P0001,-8.04,Electronics,East,36.91,10.0,Cloudy,0,Spring,125,0,117,37.85
2022-05-02,S001,P0001,-1.99,Toys,East,37.57,0.0,Rainy,1,Autumn,193,1,71,37.35
2022-05-03,S001,P0001,32.61,Toys,East,47.42,20.0,Sunny,1,Winter,231,18,92,50.88
2022-05-04,S001,P0001,126.03,Furniture,West,30.44,20.0,Cloudy,0,Spring,383,127,131,25.63
2022-05-05,S001,P0001,45.42,Toys,South,21.29,20.0,Rainy,0,Autumn,252,49,172,23.42
2022-05-06,S001,P0001,40.4,Groceries,South,87.62,10.0,Rainy,1,Spring,253,26,79,89.03
2022-05-07,S001,P0001,44.63,Furniture,East,65.44,20.0,Sunny,1,Winter,334,39,150,69.95
2022-05-08,S001,P0001,13.1,Clothing,South,30.86,5.0,Snowy,0,Spring,103,6,120,35.02
2022-05-09,S001,P0001,184.02,Toys,West,55.13,15.0,Sunny,0,Winter,195,173,94,52.38
2022-05-10,S001,P0001,25.79,Toys,North,60.66,15.0,Snowy,0,Autumn,118,19,138,55.68
2022-05-11,S001,P0001,16.37,Toys,West,23.93,10.0,Rainy,1,Autumn,185,19,142,25.74
2022-05-12,S001,P0001,2.78,Electronics,East,94.22,0.0,Sunny,0,Winter,426,10,25,95.15
2022-05-13,S001,P0001,353.82,Groceries,North,14.24,5.0,Cloudy,0,Spring,496,357,36,12.13
2022-05-14,S001,P0001,224.85,Furniture,East,61.31,10.0,Sunny,0,Autumn,470,226,137,61.59
2022-05-15,S001,P0001,216.51,Toys,South,39.12,5.0,Snowy,1,Spring,392,213,189,43.33
2022-05-16,S001,P0001,112.72,Groceries,North,97.06,15.0,Sunny,1,Spring,179,121,32,97.63
2022-05-17,S001,P0001,201.31,Electronics,East,82.48,15.0,Snowy,0,Spring,264,191,192,80.01
2022-05-18,S001,P0001,146.02,Toys,South,22.09,20.0,Snowy,1,Winter,373,148,22,19.85
2022-05-19,S001,P0001,24.29,Clothing,West,34.33,10.0,Sunny,0,Autumn,81,17,117,32.74
2022-05-20,S001,P0001,83.43,Groceries,West,85.99,15.0,Cloudy,0,Autumn,340,75,71,90.45
2022-05-21,S001,P0001,323.92,Clothing,East,75.6,0.0,Sunny,1,Winter,494,314,20,76.8
2022-05-22,S001,P0001,62.81,Furniture,North,73.44,5.0,Rainy,0,Winter,175,46,196,68.48
2022-05-23,S001,P0001,67.77,Clothing,East,19.09,5.0,Snowy,0,Spring,114,66,46,23.61
2022-05-24,S001,P0001,181.74,Clothing,West,15.58,10.0,Snowy,1,Spring,459,173,132,11.36
2022-05-25,S001,P0001,76.27,Toys,West,45.81,10.0,Cloudy,0,Spring,78,68,113,43.73
2022-05-26,S001,P0001,207.14,Clothing,East,14.76,5.0,Sunny,1,Autumn,211,200,114,14.03
2022-05-27,S001,P0001,40.77,Furniture,South,19.35,5.0,Cloudy,1,Summer,94,32,190,24.18
2022-05-28,S001,P0001,409.98,Toys,East,47.5,20.0,Sunny,0,Winter,434,393,192,45.41
2022-05-29,S001,P0001,21.8,Furniture,West,68.32,0.0,Cloudy,0,Winter,94,11,20,72.05
2022-05-30,S001,P0001,309.22,Toys,West,15.94,0.0,Rainy,1,Spring,372,307,75,16.59
2022-05-31,S001,P0001,117.21,Clothing,East,52.95,10.0,Snowy,1,Spring,111,109,166,50.25
2022-06-01,S001,P0001,192.58,Toys,North,11.52,15.0,Rainy,1,Spring,461,198,119,8.27
2022-06-02,S001,P0001,388.15,Clothing,West,98.99,10.0,Snowy,1,Spring,386,385,144,96.79
2022-06-03,S001,P0001,43.58,Clothing,North,54.62,10.0,Rainy,0,Winter,53,25,147,58.21
2022-06-04,S001,P0001,53.64,Electronics,West,67.67,20.0,Cloudy,0,Winter,72,48,71,66.42
2022-06-05,S001,P0001,161.11,Groceries,West,84.43,15.0,Sunny,0,Summer,265,164,57,80.65
2022-06-06,S001,P0001,119.18,Furniture,North,94.24,15.0,Rainy,0,Spring,219,113,107,96.41
2022-06-07,S001,P0001,227.01,Groceries,East,92.79,5.0,Cloudy,0,Autumn,256,237,25,97.71
2022-06-08,S001,P0001,103.1,Groceries,East,98.92,10.0,Rainy,0,Spring,209,90,93,103.21
2022-06-09,S001,P0001,264.28,Toys,South,15.22,10.0,Sunny,0,Autumn,403,259,85,17.12
2022-06-10,S001,P0001,170.85,Clothing,North,51.57,5.0,Rainy,0,Spring,163,158,152,55.42
2022-06-11,S001,P0001,253.13,Groceries,East,13.91,5.0,Rainy,0,Spring,374,254,25,10.4
2022-06-12,S001,P0001,322.64,Clothing,South,37.8,15.0,Cloudy,1,Winter,469,315,132,35.55
2022-06-13,S001,P0001,74.6,Electronics,West,55.8,20.0,Snowy,0,Autumn,91,58,193,58.37
2022-06-14,S001,P0001,121.46,Clothing,East,35.77,5.0,Sunny,1,Summer,133,109,121,32.59
2022-06-15,S001,P0001,101.53,Electronics,South,91.53,15.0,Snowy,0,Spring,124,98,52,90.63
2022-06-16,S001,P0001,257.66,Furniture,West,59.27,20.0,Rainy,1,Autumn,290,260,158,61.2
2022-06-17,S001,P0001,59.75,Furniture,East,75.73,15.0,Sunny,0,Winter,289,53,41,78.27
2022-06-18,S001,P0001,39.96,Furniture,North,25.77,15.0,Snowy,1,Spring,390,31,68,23.18
2022-06-19,S001,P0001,255.2,Furniture,East,90.94,0.0,Sunny,0,Spring,478,253,183,86.82
2022-06-20,S001,P0001,208.89,Electronics,West,86.86,10.0,Rainy,0,Spring,338,205,175,90.39
2022-06-21,S001,P0001,182.13,Groceries,North,79.86,0.0,Snowy,1,Summer,403,191,137,76.93
2022-06-22,S001,P0001,253.34,Electronics,West,19.44,5.0,Snowy,1,Winter,264,238,187,16.29
2022-06-23,S001,P0001,263.81,Clothing,West,13.76,20.0,Snowy,0,Summer,492,268,144,14.59
2022-06-24,S001,P0001,107.92,Furniture,North,96.38,20.0,Sunny,1,Spring,321,95,164,95.65
2022-06-25,S001,P0001,199.67,Toys,North,19.9,5.0,Snowy,1,Autumn,454,202,109,17.02
2022-06-26,S001,P0001,21.87,Furniture,North,23.59,5.0,Rainy,1,Autumn,74,8,93,20.6
2022-06-27,S001,P0001,48.5,Toys,North,11.81,0.0,Snowy,0,Summer,421,48,185,14.38
2022-06-28,S001,P0001,256.57,Groceries,South,15.81,10.0,Snowy,0,Winter,332,256,55,17.15
2022-06-29,S001,P0001,22.15,Clothing,North,80.64,0.0,Rainy,1,Summer,58,22,103,85.29
2022-06-30,S001,P0001,159.37,Clothing,North,74.75,5.0,Sunny,0,Summer,452,151,129,73.99
2022-07-01,S001,P0001,37.91,Clothing,South,43.74,0.0,Sunny,0,Autumn,372,35,152,39.82
2022-07-02,S001,P0001,-1.43,Groceries,East,42.42,0.0,Cloudy,0,Autumn,61,8,20,40.55
2022-07-03,S001,P0001,97.47,Furniture,South,79.84,0.0,Rainy,1,Spring,149,92,140,78.34
2022-07-04,S001,P0001,153.26,Electronics,West,15.79,15.0,Cloudy,1,Autumn,483,143,114,19.12
2022-07-05,S001,P0001,78.99,Toys,North,81.22,10.0,Snowy,1,Summer,104,75,160,84.72
2022-07-06,S001,P0001,21.76,Groceries,East,46.96,20.0,Rainy,1,Autumn,305,4,157,49.08
2022-07-07,S001,P0001,60.33,Toys,East,96.25,5.0,Snowy,0,Summer,115,70,170,94.4
2022-07-08,S001,P0001,130.28,Groceries,West,78.51,5.0,Snowy,1,Summer,145,118,161,79.41
2022-07-09,S001,P0001,-0.67,Groceries,West,56.87,20.0,Cloudy,0,Spring,190,6,128,56.37
2022-07-10,S001,P0001,52.08,Electronics,West,35.38,0.0,Sunny,0,Summer,475,56,44,35.22
2022-07-11,S001,P0001,302.51,Furniture,East,70.64,15.0,Cloudy,0,Autumn,429,310,167,73.95
2022-07-12,S001,P0001,79.62,Toys,South,37.08,20.0,Rainy,0,Winter,152,87,139,32.6
2022-07-13,S001,P0001,191.53,Clothing,South,45.95,15.0,Cloudy,1,Spring,329,194,134,45.45
2022-07-14,S001,P0001,381.8,Toys,North,97.5,20.0,Snowy,0,Summer,399,374,186,94.97
2022-07-15,S001,P0001,80.63,Groceries,North,49.01,15.0,Cloudy,1,Winter,82,63,80,45.88
2022-07-16,S001,P0001,37.8,Furniture,South,79.94,0.0,Cloudy,1,Summer,87,39,146,83.3
2022-07-17,S001,P0001,6.27,Electronics,North,33.84,20.0,Sunny,1,Autumn,63,12,196,29.74
2022-07-18,S001,P0001,44.03,Furniture,South,34.46,10.0,Sunny,0,Summer,193,42,85,37.37
2022-07-19,S001,P0001,178.55,Toys,South,56.65,10.0,Rainy,1,Autumn,238,179,198,54.38
2022-07-20,S001,P0001,111.42,Electronics,East,81.18,0.0,Cloudy,1,Winter,392,114,92,77.62
2022-07-21,S001,P0001,187.08,Clothing,West,36.04,20.0,Sunny,0,Summer,498,183,70,40.66
2022-07-22,S001,P0001,91.67,Clothing,East,92.32,10.0,Cloudy,0,Winter,422,88,101,94.95
2022-07-23,S001,P0001,241.58,Groceries,West,45.02,0.0,Snowy,0,Autumn,315,236,82,47.05
2022-07-24,S001,P0001,290.05,Toys,East,43.51,15.0,Snowy,1,Autumn,337,292,107,39.9
2022-07-25,S001,P0001,48.12,Clothing,North,44.95,20.0,Snowy,1,Autumn,96,34,164,43.78
2022-07-26,S001,P0001,172.55,Furniture,North,30.28,10.0,Sunny,1,Spring,212,153,120,26.82
2022-07-27,S001,P0001,282.32,Clothing,North,80.67,15.0,Snowy,1,Summer,404,266,128,82.11
2022-07-28,S001,P0001,308.96,Groceries,South,74.05,15.0,Cloudy,1,Spring,314,312,83,74.41
2022-07-29,S001,P0001,177.06,Groceries,West,45.77,0.0,Sunny,0,Autumn,304,177,41,47.74
2022-07-30,S001,P0001,209.87,Groceries,South,99.17,20.0,Cloudy,0,Winter,418,202,58,101.36
2022-07-31,S001,P0001,338.0,Furniture,East,87.79,0.0,Sunny,0,Spring,423,322,39,86.17
2022-08-01,S001,P0001,75.93,Furniture,West,28.22,15.0,Rainy,1,Spring,73,67,149,29.58
2022-08-02,S001,P0001,154.13,Electronics,West,87.87,0.0,Cloudy,0,Spring,252,141,108,90.51
2022-08-03,S001,P0001,239.96,Clothing,East,25.2,20.0,Snowy,1,Autumn,329,224,199,22.86
2022-08-04,S001,P0001,276.45,Toys,North,65.97,15.0,Cloudy,0,Spring,405,276,21,67.54
2022-08-05,S001,P0001,38.51,Electronics,North,87.72,10.0,Snowy,1,Autumn,427,27,184,83.51
2022-08-06,S001,P0001,228.17,Furniture,West,64.06,15.0,Snowy,0,Summer,320,229,63,64.54
2022-08-07,S001,P0001,261.5,Electronics,South,58.96,15.0,Rainy,0,Winter,420,244,44,60.11
2022-08-08,S001,P0001,54.41,Clothing,East,99.12,0.0,Snowy,0,Autumn,338,46,56,99.98
2022-08-09,S001,P0001,217.42,Furniture,West,98.6,5.0,Sunny,0,Summer,211,208,194,98.28
2022-08-10,S001,P0001,20.77,Electronics,North,62.69,5.0,Sunny,1,Spring,278,16,30,63.49
2022-08-11,S001,P0001,190.91,Groceries,East,33.11,5.0,Rainy,0,Winter,479,178,183,30.79
2022-08-12,S001,P0001,166.26,Toys,East,40.65,15.0,Cloudy,1,Autumn,182,153,153,42.0
2022-08-13,S001,P0001,85.88,Clothing,West,57.41,10.0,Cloudy,1,Summer,77,71,190,60.47
2022-08-14,S001,P0001,359.21,Electronics,South,79.74,20.0,Rainy,0,Winter,492,344,79,78.1
2022-08-15,S001,P0001,150.99,Groceries,South,95.07,10.0,Sunny,0,Spring,187,156,51,92.8
2022-08-16,S001,P0001,124.3,Electronics,South,70.95,5.0,Rainy,1,Autumn,348,129,96,72.86
2022-08-17,S001,P0001,265.98,Clothing,West,25.53,10.0,Cloudy,1,Winter,404,248,34,27.14
2022-08-18,S001,P0001,22.14,Toys,North,41.42,5.0,Sunny,1,Winter,70,4,117,43.64
2022-08-19,S001,P0001,192.76,Electronics,North,21.86,0.0,Rainy,0,Autumn,192,178,70,23.9
2022-08-20,S001,P0001,372.87,Furniture,East,80.76,5.0,Snowy,1,Winter,418,376,165,82.52
2022-08-21,S001,P0001,176.63,Furniture,North,97.35,15.0,Rainy,0,Summer,263,176,26,102.28
2022-08-22,S001,P0001,88.75,Groceries,East,61.73,15.0,Sunny,0,Winter,248,74,114,61.65
2022-08-23,S001,P0001,229.28,Electronics,West,82.81,20.0,Cloudy,0,Winter,497,227,119,79.69
2022-08-24,S001,P0001,38.36,Groceries,East,44.19,5.0,Rainy,1,Autumn,298,42,98,46.53
2022-08-25,S001,P0001,81.8,Toys,East,33.23,5.0,Rainy,1,Spring,260,63,26,33.56
2022-08-26,S001,P0001,158.1,Clothing,West,42.44,5.0,Sunny,1,Summer,355,165,147,46.87
2022-08-27,S001,P0001,225.93,Groceries,North,80.7,5.0,Sunny,1,Winter,341,225,105,82.68
2022-08-28,S001,P0001,7.9,Clothing,West,45.23,5.0,Sunny,1,Winter,65,11,175,41.33
2022-08-29,S001,P0001,191.15,Furniture,West,72.86,0.0,Cloudy,0,Spring,205,180,82,76.81
2022-08-30,S001,P0001,160.58,Furniture,North,37.33,0.0,Snowy,0,Autumn,270,164,71,40.49
2022-08-31,S001,P0001,211.37,Electronics,North,25.2,15.0,Sunny,0,Winter,278,204,104,29.05
2022-09-01,S001,P0001,32.92,Electronics,South,50.89,15.0,Snowy,1,Autumn,61,17,49,47.53
2022-09-02,S001,P0001,145.5,Clothing,West,38.87,0.0,Rainy,0,Summer,157,155,86,37.89
2022-09-03,S001,P0001,155.65,Clothing,East,13.1,0.0,Sunny,0,Spring,179,153,174,16.11
2022-09-04,S001,P0001,67.75,Toys,West,37.08,0.0,Rainy,0,Spring,290,59,100,32.63
2022-09-05,S001,P0001,69.46,Clothing,South,39.31,15.0,Snowy,0,Spring,460,64,84,35.96
2022-09-06,S001,P0001,363.19,Electronics,East,95.87,0.0,Cloudy,0,Summer,385,365,92,95.64
2022-09-07,S001,P0001,70.51,Clothing,South,37.45,10.0,Sunny,1,Winter,95,71,151,36.16
2022-09-08,S001,P0001,54.61,Groceries,North,16.62,20.0,Cloudy,1,Autumn,83,48,154,15.11
2022-09-09,S001,P0001,-6.71,Toys,North,38.45,20.0,Sunny,1,Winter,220,0,102,39.51
2022-09-10,S001,P0001,238.17,Toys,East,84.98,20.0,Rainy,0,Summer,344,228,100,84.45
2022-09-11,S001,P0001,287.07,Electronics,South,36.82,20.0,Cloudy,0,Spring,315,276,141,41.07
2022-09-12,S001,P0001,344.94,Toys,North,96.51,20.0,Snowy,1,Spring,388,351,90,99.35
